text,label
"Iraq Halts Oil Exports from Main Southern Pipeline (Reuters) Reuters - Authorities have halted oil export\flows from the main pipeline in southern Iraq after\intelligence showed a rebel militia could strike\infrastructure, an oil official said on Saturday.",2
"Oil prices soar to all-time record, posing new menace to US economy (AFP) AFP - Tearaway world oil prices, toppling records and straining wallets, present a new economic menace barely three months before the US presidential elections.",2
"Stocks End Up, But Near Year Lows (Reuters) Reuters - Stocks ended slightly higher on Friday\but stayed near lows for the year as oil prices surged past  #36;46\a barrel, offsetting a positive outlook from computer maker\Dell Inc. (DELL.O)",2
"No Need for OPEC to Pump More-Iran Gov  TEHRAN (Reuters) - OPEC can do nothing to douse scorching  oil prices when markets are already oversupplied by 2.8 million  barrels per day (bpd) of crude, Iran's OPEC governor said  Saturday, warning that prices could fall sharply.",2
"Non-OPEC Nations Should Up Output-Purnomo  JAKARTA (Reuters) - Non-OPEC oil exporters should consider  increasing output to cool record crude prices, OPEC President  Purnomo Yusgiantoro said on Sunday.",2
"US trade deficit swells in June The US trade deficit has exploded 19 to a record \$55.8bn as oil costs drove imports higher, according to a latest figures.",2
"Saudi Arabia to open up oil taps Saudi Arabia says it is ready to push an extra 1.3 million barrels a day of oil into the market, to help reverse surging prices.",2
"Will Russia, the Oil Superpower, Flex Its Muscles? Russia is again emerging as a superpower - but the reason has less to do with nuclear weapons than with oil.",2
"New Method May Predict Quakes Weeks Ahead (AP) AP - Swedish geologists may have found a way to predict earthquakes weeks before they happen by monitoring the amount of metals like zinc and copper in subsoil water near earthquake sites, scientists said Wednesday.",3
"Dying Star Goes Out With a Ring A new image from NASA's Spitzer Space Telescope shows the shimmering embers of a dying star, and in their midst a mysterious doughnut-shaped ring. The dying star is part of a ""planetary nebula"" called NGC 246. When a star like our own Sun begins to run out of fuel, its core shrinks and heats up, boiling off the star's outer layers.",3
"Earnings alert: BEA revenue rises amid turmoil Plus: Dell meets expectations...Storage, servers bruise HP earnings...Healthy sales lift Cisco's profit.",3
"Missing June deals slow to return for software companies Software company executives at a CIBC World Markets conference this week cited a variety of reasons for why June sales slowed, from record oil prices to steep software discounting and regulatory distractions on accounting deadlines.",3
"President's fate is on the line in Venezuela CARACAS -- Partisans on both sides are calling it the most polarized and important election in Venezuela's history, a presidential recall referendum today that will determine the course of democracy here and could buffet world oil prices. Both campaigns are also utterly convinced they will win.",0
"Venezuelans Rush to Vote in Referendum on Chavez  CARACAS, Venezuela (Reuters) - Venezuelans crowded polling  stations on Sunday to vote on whether to recall left-wing  President Hugo Chavez or back his mandate to govern the world's  No. 5 oil exporter for the next two years.",0
"Venezuelans Throng to Polls in Chavez Referendum  CARACAS, Venezuela (Reuters) - Venezuelans crowded polling  stations on Sunday to vote on whether to recall left-wing  President Hugo Chavez or back his mandate to govern the world's  No. 5 oil exporter for the next two years.",0
"Venezuela Oil Official Predicts Stability (AP) AP - Venezuela's oil industry will enter a new period of stability and growth after Sunday's referendum on Hugo Chavez's presidency, the president of the state-run oil company said Sunday.",0
"Venezuela Voters Crowd Polls in Chavez Referendum  CARACAS, Venezuela (Reuters) - Venezuelans crowded polling  stations on Sunday to vote on whether to recall left-wing  President Hugo Chavez or back his mandate to govern the world's  No. 5 oil exporter for the next two years.",0
Nikkei Falls Over 1 Pct on Oil Worries  TOKYO (Reuters) - Tokyo's Nikkei fell more than one percent  by mid-morning on Monday as investors stepped up selling of  exporters such as Toyota Motor Corp. amid growing fears of the  impact of surging oil prices on the global economy.,2
Nikkei Falls Over 1 Pct on Oil Worries (Reuters) Reuters - Tokyo's Nikkei fell more than one percent\by mid-morning on Monday as investors stepped up selling of\exporters such as Toyota Motor Corp. amid growing fears of the\impact of surging oil prices on the global economy.,2
"Nikkei Down at Midday on Oil Worries  TOKYO (Reuters) - Tokyo's Nikkei fell 1.66 percent by  midday on Monday, extending losses into a third day as growing  fears about the impact of surging oil prices on the global  economy hit exporters such as Toyota Motor Corp.",2
NYMEX Crude Hits Record \$46.76  SINGAPORE (Reuters) - NYMEX crude oil futures &lt;CLc1&gt; hit a  new record of \$46.76 on Monday on worries about possible unrest  and disruption to oil supply as Venezuelans voted in a  referendum on whether to recall President Hugo Chavez.,2
"Gas Prices Drop, but Increase Expected CAMARILLO, Calif. - Gas prices have dropped nearly 5 cents in the past three weeks with an increase in supply, but soaring crude oil prices could cause rates to rise again soon, an industry analyst said Sunday...",0
"Nikkei Down, Oil Worries Hit Exporters (Reuters) Reuters - Tokyo's Nikkei fell 1.66 percent by\midday on Monday, extending losses into a third day as another\surge in oil prices deepened worries about the global economic\impact and knocked down exporters such as Toyota Motor Corp.",0
"Nikkei Hits 3-Mth Closing Low  TOKYO (Reuters) - Tokyo's Nikkei average fell 0.65 percent  to a fresh three-month closing low on Monday as crude oil  prices again hit record highs in Asian trading hours, clouding  the outlook for the global economy.",2
Stocks Fall as Oil Hits High  SINGAPORE (Reuters) - Exporters led a fall in Asian shares  on Monday as oil prices set new highs near \$47 and data showing  the U.S. trade deficit widened to a record raised fresh concern  about the health of the world's largest economy.,2
Stocks Fall as Oil Hits High (Reuters) Reuters - Exporters led a fall in Asian shares\on Monday as oil prices set new highs near  #36;47 and data showing\the U.S. trade deficit widened to a record raised fresh concern\about the health of the world's largest economy.,2
"Stewart spoils upset bid Sports car ace Ron Fellows nearly pulled off what arguably would have been the biggest upset in NASCAR history, finishing second after starting last yesterday at Watkins Glen (N.Y.) International.",1
"Small firms struggle as oil soars Small manufacturers in the UK are struggling in the face of soaring oil prices and higher interest rates, the CBI says.",2
Oil Prices Hold Near Record  LONDON (Reuters) - Oil prices simmered near fresh highs  Monday even though early reports of victory for Venezuelan  President Hugo Chavez in a referendum on his rule eased fears  that unrest could upset the country's oil exports.,2
"Sri Lanka hit by oil strike Workers at Sri Lanka's main oil company end a two-day strike, held in protest at government plans to sell more of the company.",2
"Stocks Open Near Flat as Oil Near Record  NEW YORK (Reuters) - U.S. stocks opened little changed on  Monday as crude prices remain near their record highs, but  early reports of victory for the Venezuelan president in a  referendum on his rule eased fears about the country's oil  exports.",2
"Stocks Higher Despite Soaring Oil Prices NEW YORK - Wall Street shifted higher Monday as bargain hunters shrugged off skyrocketing oil prices and bought shares following an upbeat sales report from Wal-Mart Stores and a bright outlook from Lowe's.    The Dow Jones industrial average was up 84.07, or 0.9 percent, at 9,909.42, after edging 0.1 percent higher last week...",0
Oil Slips from Record High of \$46.30  LONDON (Reuters) - Oil prices eased from new record highs  on Monday as victory for Venezuelan President Hugo Chavez in a  referendum on his rule eased fears that unrest could upset the  country's oil exports.,2
Stocks Gain as Oil Prices Ease  NEW YORK (Reuters) - U.S. stocks gained on Monday as oil  prices dipped after reports of victory for the Venezuelan  president in a referendum on his rule eased fears about the  country's oil exports.,2
"Govt likely to cut oil product duties - official (Reuters) Reuters - The government is expected to slash customs and excise duties on petroleum products in a bid to control inflation without hurting the profitability of oil firms, an oil industry official said on Monday.",0
"Stocks Sharply Higher on Dip in Oil Prices NEW YORK - A drop in oil prices and upbeat outlooks from Wal-Mart and Lowe's prompted new bargain-hunting on Wall Street Monday, sending stocks sharply higher. The Dow climbed more than 110 points in morning trading...",0
"Stocks Higher on Oil Price Relief  NEW YORK (Reuters) - U.S. stocks gained on Monday, getting  a boost from lower oil prices after news the Venezuelan  president survived a recall eased fears about the country's oil  exports.",2
"Stocks Higher on Oil Price Relief (Reuters) Reuters - U.S. stocks gained on Monday, getting\a boost from lower oil prices after news the Venezuelan\president survived a recall eased fears about the country's oil\exports.",2
"Stocks Up, Oil Price Ease Gives Relief  NEW YORK (Reuters) - U.S. stocks climbed on Monday, getting  a boost from lower oil prices after Venezuela's president  declared he had survived a recall referendum, easing fears  about the country's oil exports.",2
"U.S. Stocks Rebound as Oil Prices Ease  NEW YORK (Reuters) - U.S. stocks rebounded on Monday as oil  prices retreated from their highs, while upbeat earnings  announcements from retailers fueled the improved sentiment.",2
"Celebrity Chefs Are Everywhere in Vegas By ADAM GOLDMAN    LAS VEGAS (AP) -- The waiter appears tableside in the cozy dining room laden with oil paintings, stained glass and hints of cherry and oak. Before reciting the day's special menu items, he recounts the restaurant's devotion to farm-fresh produce and tosses out a morsel about its namesake, chef Bradley Ogden...",3
"Lufthansa to levy 'temporary' fuel surcharge (AFP) AFP - German carrier Lufthansa said it would levy a temporary fuel surcharge on tickets from August 24, in response to the rise in the price of oil.",0
