Year,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2021,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CH,CZ,,,1.0,live,,Z,C
2021,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,LK,,,1.0,specimens,Number of specimens,S,W
2021,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,LK,,,1.0,specimens,Number of specimens,S,W
2021,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,IS,,,190.0,specimens,kg,S,W
2021,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NO,IS,,,2800.0,meat,g,S,W
2021,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,CO,,,22.0,oil,,S,W
2021,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,AU,CO,,,22.0,skins,,S,W
2021,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DE,BR,,1.0,,specimens,Number of specimens,S,W
2021,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,ES,IS,,,120.0,specimens,g,S,W
2021,Boa constrictor occidentalis,Reptilia,Serpentes,Boidae,Boa,GB,DE,,,2.0,live,Number of specimens,T,C
2021,Sanzinia madagascariensis,Reptilia,Serpentes,Boidae,Sanzinia,DE,CH,,2.0,,live,Number of specimens,P,C
2021,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CH,DE,,,1.0,skulls,Number of specimens,T,C
2021,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,PK,AE,,25.0,,live,,T,C
2021,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,PK,AE,,2.0,,live,,T,D
2021,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,AU,PK,,,1.0,trophies,,H,W
2021,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,BY,RU,,1.0,,live,,Z,C
2021,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,GB,XX,1.0,,skulls,Number of specimens,T,O
2021,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,DE,TJ,,2.0,,trophies,Number of specimens,H,W
2021,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,ES,PK,,,3.0,trophies,,H,W
2021,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,MX,PK,,,2.0,trophies,,H,W
2021,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,RU,PK,,,4.0,trophies,,H,W
2021,Capra falconeri,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,,6.0,trophies,,H,W
2021,Capra falconeri megaceros,Mammalia,Artiodactyla,Bovidae,Capra,US,PK,,,3.0,trophies,,H,W
2021,Capricornis thar,Mammalia,Artiodactyla,Bovidae,Capricornis,DE,GB,XX,1.0,,trophies,Number of specimens,P,O
2021,Cephalophus jentinki,Mammalia,Artiodactyla,Bovidae,Cephalophus,DE,CI,,8.0,,specimens,Number of specimens,S,W
2021,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,CH,DE,,,1.0,live,Number of specimens,Z,C
2021,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PK,AE,,8.0,,live,,T,C
2021,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,PK,AE,,13.0,,live,,T,D
2021,Oryx dammah,Mammalia,Artiodactyla,Bovidae,Oryx,SK,ZA,,1.0,,trophies,,H,F
2021,Oryx leucoryx,Mammalia,Artiodactyla,Bovidae,Oryx,PK,AE,,30.0,,live,,T,C
