VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
2,2022-01-01T00:04:14.000000,2022-01-01T00:26:12.000000,1.0,10.83,1.0,N,132,129,2,31.0,0.5,0.5,0.0,0.0,0.3,33.55,0.0,1.25
2,2022-01-01T00:32:17.000000,2022-01-01T00:49:23.000000,1.0,3.97,1.0,N,170,238,1,14.5,0.5,0.5,3.66,0.0,0.3,21.96,2.5,0.0
2,2022-01-01T00:40:58.000000,2022-01-01T01:00:59.000000,4.0,8.44,1.0,N,138,229,2,25.5,0.5,0.5,0.0,0.0,0.3,30.55,2.5,1.25
2,2022-01-01T00:55:13.000000,2022-01-01T01:25:49.000000,1.0,12.61,1.0,N,49,151,1,37.5,0.5,0.5,12.39,0.0,0.3,53.69,2.5,0.0
2,2022-01-01T00:55:24.000000,2022-01-01T01:00:45.000000,1.0,1.49,1.0,N,141,233,2,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5,0.0
2,2022-01-01T01:09:34.000000,2022-01-01T01:13:46.000000,1.0,1.22,1.0,N,141,229,1,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5,0.0
2,2022-01-01T01:39:02.000000,2022-01-01T01:51:58.000000,2.0,3.2,1.0,N,234,87,1,12.0,0.5,0.5,3.16,0.0,0.3,18.96,2.5,0.0
2,2022-01-01T01:40:03.000000,2022-01-01T01:48:18.000000,1.0,1.32,1.0,N,79,249,1,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5,0.0
1,2022-01-01T02:02:58.000000,2022-01-01T02:30:16.000000,2.0,9.8,1.0,N,239,33,1,30.5,3.0,0.5,8.0,0.0,0.3,42.3,2.5,0.0
2,2022-01-01T02:17:53.000000,2022-01-01T02:27:48.000000,1.0,1.59,1.0,N,148,87,1,8.5,0.5,0.5,1.0,0.0,0.3,13.3,2.5,0.0
1,2022-01-01T02:31:41.000000,2022-01-01T02:45:31.000000,0.0,2.7,1.0,N,148,90,1,12.0,3.0,0.5,3.15,0.0,0.3,18.95,2.5,0.0
2,2022-01-01T02:35:45.000000,2022-01-01T02:41:10.000000,5.0,1.32,1.0,N,48,143,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5,0.0
2,2022-01-01T03:03:06.000000,2022-01-01T03:09:02.000000,1.0,1.64,1.0,N,263,239,1,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5,0.0
2,2022-01-01T03:04:44.000000,2022-01-01T03:20:43.000000,1.0,5.01,1.0,N,164,202,1,16.0,0.5,0.5,3.96,0.0,0.3,23.76,2.5,0.0
2,2022-01-01T03:11:14.000000,2022-01-01T03:20:45.000000,1.0,1.86,1.0,N,79,232,1,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5,0.0
