Taxon,CommonName
Acipenser baerii,Siberian sturgeon
Alligator mississippiensis,American alligator
Acipenser gueldenstaedtii,Russian sturgeon
Daboia russelii,Russell's viper
Python reticulatus,Reticulated python
Crocodylus niloticus,Nile crocodile
Macaca fascicularis,Crab-eating macaque
Python bivittatus,Burmese python
Loxodonta africana,African bush elephant
Huso huso,Beluga (sturgeon)
Crocodylus porosus,Saltwater crocodile
Acipenseridae hybrid,Russian sturgeon
Caiman crocodilus fuscus,Spectacled caiman
Caiman crocodilus yacare,Yacare caiman
Acipenser transmontanus,White sturgeon
Falco rusticolus,Gyrfalcon
Mustela sibirica,Siberian weasel
Falco peregrinus,Peregrine falcon
Giraffa camelopardalis,Northern giraffe
Varanus salvator,Asian water monitor
Python regius,Ball python
Varanus niloticus,Nile monitor
Papio ursinus,Chacma baboon
Lynx rufus,Bobcat
Hippopotamus amphibius,Hippopotamus
Panthera pardus,Leopard
Chlorocebus aethiops,Grivet
Falco cherrug,Saker falcon
Testudo hermanni,Hermann's tortoise
Furcifer pardalis,Panther chameleon
Psittacus erithacus,Grey parrot
Acipenser ruthenus,Sterlet
Chamaeleo calyptratus,Veiled chameleon
Caracal caracal,Caracal
Panthera leo,Lion
Boa constrictor,Boa constrictor
Python brongersmai,Python brongersmai
Stigmochelys pardalis,Leopard tortoise
Falco hybrid,Hybrid falcon
Macaca mulatta,Rhesus macaque
Equus zebra hartmannae,Mountain zebra
Agapornis fischeri,Fischer's lovebird
Platycercus eximius,Eastern rosella
Chelonoidis carbonarius,Red-footed tortoise
Capra sibirica,Siberian ibex
Elephantidae spp.,Mastodon
Caiman crocodilus crocodilus,Spectacled caiman
Dendrobates tinctorius,Dyeing poison dart frog
Ara ararauna,Blue-and-yellow macaw
Psephotus haematonotus,Red-rumped parrot
Morelia spilota,Morelia spilota
Centrochelys sulcata,African spurred tortoise
Ursus americanus,American black bear
Ursus arctos,Brown bear
Amazona aestiva,Turquoise-fronted amazon
Myiopsitta monachus,Monk parakeet
Platycercus elegans,Crimson rosella
Testudo horsfieldii,Russian tortoise
Acipenser schrenckii,Japanese sturgeon
Epicrates cenchria,Rainbow boa
Dendrobates auratus,Green and black poison dart frog
Agapornis personatus,Yellow-collared lovebird
Pan troglodytes,Chimpanzee
Acipenser stellatus,Starry sturgeon
Huso dauricus,Kaluga (fish)
Capra caucasica,West Caucasian tur
Leptailurus serval,Serval
Amazona ochrocephala,Yellow-crowned amazon
Eclectus roratus,Eclectus parrot
Forpus coelestis,Pacific parrotlet
Psittacula derbiana,Lord Derby's parakeet
Morelia viridis,Green tree python
Varanus exanthematicus,Savannah monitor
Vicugna vicugna,Vicuña
Uromastyx thomasi,Uromastyx thomasi
Corallus hortulanus,Corallus hortulana
Euphyllia glabrescens,Euphyllia glabrescens
Saguinus imperator,Emperor tamarin
Papio anubis,Olive baboon
Papio cynocephalus,Yellow baboon
Aratinga solstitialis,Sun parakeet
Bolborhynchus lineola,Barred parakeet
Polytelis anthopeplus,Regent parrot
Salvator rufescens,Red tegu
Testudo marginata,Marginated tortoise
Civettictis civetta,African civet
Capra falconeri,Markhor
Crocodylus siamensis,Siamese crocodile
Acinonyx jubatus,Cheetah
Panthera tigris,Tiger
Euphyllia ancora,Euphyllia ancora
Callithrix jacchus,Common marmoset
Terrapene carolina,Common box turtle
Puma concolor,Cougar
Heloderma suspectum,Gila monster
Iguana iguana,Iguana
Barnardius zonarius,Australian ringneck
Cyanoliseus patagonus,Burrowing parrot
Neopsephotus bourkii,Bourke's parrot
Platycercus adscitus,Pale-headed rosella
Polytelis swainsonii,Superb parrot
Psittacula eupatria,Alexandrine parakeet
