Taxon,counts,CommonName,tms
Acipenser baerii,287,Siberian sturgeon,"Siberian sturgeon,Acipenser,Sturgeon,White sturgeon,Ossetra,Lake Baikal,Atlantic sturgeon,Sevruga caviar,Russian sturgeon,Lake sturgeon"
Alligator mississippiensis,150,American alligator,"American alligator,Alligator,Alligatoridae,Crocodilia,Claude (alligator),Muja (alligator),Crocodile,Crocodile farm,Alligator wrestling,American bullfrog"
Acipenser gueldenstaedtii,142,Russian sturgeon,"Russian sturgeon,Acipenser,Sturgeon,Starry sturgeon,Ossetra,Sturddlefish,White sturgeon,Atlantic sturgeon,Acipenseriformes,Lake sturgeon"
Daboia russelii,136,Russell's viper,"Russell's viper,Daboia siamensis,Daboia,Big Four (Indian snakes),List of dangerous snakes,Venomous snake,Banded krait,List of venomous animals,Komodo National Park,Vipera berus"
Python reticulatus,120,Reticulated python,"Reticulated python,List of largest snakes,Python (genus),Burmese python,Insular dwarfism,Malayopython,Snakeskin,Snake skeleton,List of pythonid species and subspecies,Constriction"
Crocodylus niloticus,91,Nile crocodile,"Nile crocodile,West African crocodile,Crocodylus,Crocodile,Voay,Saltwater crocodile,American crocodile,Mecistops,Crocodylinae,Cuban crocodile"
Macaca fascicularis,80,Crab-eating macaque,"Crab-eating macaque,Philippine long-tailed macaque,Macaque,Nicobar long-tailed macaque,Southern pig-tailed macaque,List of primates by population,M. fascicularis,Barbary macaque,Zhong Zhong and Hua Hua,Monkeypox virus"
Python bivittatus,59,Burmese python,"Burmese python,Python (genus),Indian python,List of largest snakes,Burmese pythons in Florida,Dwarf Burmese python,Pythonidae,List of pythonid species and subspecies,Reticulated python,Insular dwarfism"
Loxodonta africana,53,African bush elephant,"African bush elephant,African forest elephant,African elephant,Elephant,North African elephant,Loxodonta Africana (album),Big five game,Motty,List of elephantids,List of heaviest land mammals"
Huso huso,53,Beluga (sturgeon),"Beluga (sturgeon),Huso,Kaluga (fish),Sturgeon,Beluga caviar,Local extinction,İsa Huso,Ossetra,Whitefish,Adriatic sturgeon"
Crocodylus porosus,51,Saltwater crocodile,"Saltwater crocodile,Philippine crocodile,Crocodylus,Nile crocodile,Crocodile,Crocodylus raninus,Lolong,American crocodile,Mecistops,Orinoco crocodile"
Acipenseridae hybrid,49,Russian sturgeon,"Sturgeon,Caviar,Russian sturgeon,List of freshwater fishes of Washington,List of fishes of Idaho,Pallid sturgeon,American paddlefish,List of fishes of Arkansas,List of fishes of Missouri,List of fishes of the Salish Sea"
Caiman crocodilus fuscus,36,Spectacled caiman,"Spectacled caiman,Caiman,List of invasive species in Colombia,List of amphibians and reptiles of Cuba,Amphibia in the 10th edition of Systema Naturae,Biota of Trinidad and Tobago,List of reptiles of Brazil,List of introduced species,List of least concern reptiles"
Caiman crocodilus yacare,35,Yacare caiman,"Yacare caiman,Spectacled caiman,Caiman,Alligatoridae,Caiman (genus),Black caiman,Cuvier's dwarf caiman,American alligator,Smooth-fronted caiman,Broad-snouted caiman"
Acipenser transmontanus,34,White sturgeon,"White sturgeon,Sturgeon,Acipenser,Russian River (California),List of longest fish,Russian sturgeon,Atlantic sturgeon,Lake sturgeon,Lake Havasu,Dabry's sturgeon"
Falco rusticolus,32,Gyrfalcon,"Gyrfalcon,List of birds by flight speed,Falcon,Falconidae,Hierofalcon,List of national birds,Canada goose,List of largest birds,American robin,Arctic hare"
Mustela sibirica,32,Siberian weasel,"Siberian weasel,Weasel,Japanese weasel,Sea mink,Ferret,Stoat,Mink,Mustelinae,Long-tailed weasel,Least weasel"
Falco peregrinus,29,Peregrine falcon,"Peregrine falcon,Shaheen falcon,Barbary falcon,Falcon,List of birds by flight speed,List of national birds,Peale's falcon,List of national animals,List of endangered species in Pakistan,Bald eagle"
Giraffa camelopardalis,28,Northern giraffe,"Northern giraffe,Giraffe,Rothschild's giraffe,South African giraffe,Nubian giraffe,Masai giraffe,Reticulated giraffe,Angolan giraffe,Kordofan giraffe,Giraffidae"
Varanus salvator,28,Asian water monitor,"Asian water monitor,Monitor lizard,List of largest extant lizards,Marbled water monitor,Bengal monitor,Yellow-headed water monitor,Komodo dragon,Palawan water monitor,Clouded monitor,Saltwater crocodile"
Python regius,27,Ball python,"Ball python,Python (genus),Central African rock python,Regius,List of nocturnal animals,List of pythonid species and subspecies,Hemipenis,Python anchietae,Marbofloxacin,Boa constrictor"
Varanus niloticus,25,Nile monitor,"Nile monitor,West African Nile monitor,Ornate monitor,Rock monitor,Monitor lizard,List of largest extant lizards,Komodo dragon,Bengal monitor,Shoebill,Varanus salvadorii"
Papio ursinus,24,Chacma baboon,"Chacma baboon,Baboon,P. ursinus,Cape of Good Hope,Sexual stimulation,Kinda baboon,Female copulatory vocalizations,List of Old World monkey species,Olive baboon,Hamadryas baboon"
Lynx rufus,24,Bobcat,"Bobcat,Lynx,Mexican bobcat,Charlotte Hornets,Felid hybrid,American lynx,Bald eagle,Hoh Rainforest,Rufus the Bobcat,Canada lynx"
Hippopotamus amphibius,24,Hippopotamus,"Hippopotamus,Hippopotamus antiquus,Hippopotamus (genus),Hippopotamidae,Pygmy hippopotamus,Whippomorpha,Courtship,Allenton hippopotamus,Malagasy hippopotamus,Armley Hippo"
Panthera pardus,21,Leopard,"Leopard,Panthera pardus tulliana,African leopard,Indian leopard,Black panther,Zanzibar leopard,Amur leopard,Panthera pardus spelaea,Arabian leopard,Panthera"
Chlorocebus aethiops,21,Grivet,"Grivet,Chlorocebus,Green monkey,Vervet monkey,Tantalus monkey,Bale Mountains vervet,Malbrouck,Marburg virus,List of Old World monkey species,BrainMaps"
