time,stationID,significant_wave_height,mean_wave_period,mean_wave_direction
2022-09-22T00:00:00Z,Ballybunnion,1.21538,4.1159,19.523
2022-09-22T00:30:00Z,Ballybunnion,1.22839,4.1263,19.548
2022-09-22T01:00:00Z,Ballybunnion,1.24198,4.1342,19.565
2022-09-22T01:30:00Z,Ballybunnion,1.24721,4.1504,19.455
2022-09-22T02:00:00Z,Ballybunnion,1.24682,4.1619,19.285
2022-09-22T02:30:00Z,Ballybunnion,1.24735,4.1418,19.253
2022-09-22T03:00:00Z,Ballybunnion,1.2491,4.135,19.414
2022-09-22T03:30:00Z,Ballybunnion,1.23065,4.1835,18.686
2022-09-22T04:00:00Z,Ballybunnion,1.20255,4.2338,17.975
2022-09-22T04:30:00Z,Ballybunnion,1.1681,4.3154,17.316
2022-09-22T05:00:00Z,Ballybunnion,1.13106,4.5294,16.579
2022-09-22T05:30:00Z,Ballybunnion,1.09773,4.6698,16.042
2022-09-22T06:00:00Z,Ballybunnion,1.06702,4.8199,15.518
2022-09-22T06:30:00Z,Ballybunnion,1.0398,4.9154,15.05
2022-09-22T07:00:00Z,Ballybunnion,1.01546,5.1206,14.63
2022-09-22T07:30:00Z,Ballybunnion,0.9945,5.235,14.206
2022-09-22T08:00:00Z,Ballybunnion,0.97663,5.3261,13.778
2022-09-22T08:30:00Z,Ballybunnion,0.96163,5.3833,13.377
2022-09-22T09:00:00Z,Ballybunnion,0.94945,5.4057,13.022
2022-09-22T09:30:00Z,Ballybunnion,0.94049,5.3548,12.638
2022-09-22T10:00:00Z,Ballybunnion,0.93336,5.2197,12.237
2022-09-22T10:30:00Z,Ballybunnion,0.92741,5.1535,11.87
2022-09-22T11:00:00Z,Ballybunnion,0.92211,5.0281,11.557
2022-09-22T11:30:00Z,Ballybunnion,0.91665,4.9329,11.364
2022-09-22T12:00:00Z,Ballybunnion,0.91138,4.8718,11.217
2022-09-22T12:30:00Z,Ballybunnion,0.90681,4.8009,11.015
2022-09-22T13:00:00Z,Ballybunnion,0.9026,4.719,10.777
2022-09-22T13:30:00Z,Ballybunnion,0.89761,4.6834,10.656
2022-09-22T14:00:00Z,Ballybunnion,0.89228,4.5941,10.599
2022-09-22T14:30:00Z,Ballybunnion,0.88654,4.5652,10.615
2022-09-22T15:00:00Z,Ballybunnion,0.88082,4.5335,10.636
2022-09-22T15:30:00Z,Ballybunnion,0.87452,4.5464,10.717
2022-09-22T16:00:00Z,Ballybunnion,0.86881,4.5067,10.75
2022-09-22T16:30:00Z,Ballybunnion,0.86245,4.6022,10.821
2022-09-22T17:00:00Z,Ballybunnion,0.85597,4.5932,10.931
2022-09-22T17:30:00Z,Ballybunnion,0.84961,4.4861,11.036
2022-09-22T18:00:00Z,Ballybunnion,0.84249,4.59,11.18
2022-09-22T18:30:00Z,Ballybunnion,0.83593,4.537,11.264
2022-09-22T19:00:00Z,Ballybunnion,0.82881,4.6556,11.402
2022-09-22T19:30:00Z,Ballybunnion,0.82247,4.6105,11.482
2022-09-22T20:00:00Z,Ballybunnion,0.81582,4.6911,11.586
2022-09-22T20:30:00Z,Ballybunnion,0.80962,4.7074,11.672
2022-09-22T21:00:00Z,Ballybunnion,0.80364,4.7897,11.757
2022-09-22T21:30:00Z,Ballybunnion,0.79751,4.8424,11.881
2022-09-22T22:00:00Z,Ballybunnion,0.79157,4.9376,11.987
2022-09-22T22:30:00Z,Ballybunnion,0.78534,5.0311,12.162
2022-09-22T23:00:00Z,Ballybunnion,0.77914,5.1909,12.325
2022-09-22T23:30:00Z,Ballybunnion,0.77365,5.2648,12.422
2022-09-23T00:00:00Z,Ballybunnion,0.76825,5.353,12.526
2022-09-23T00:30:00Z,Ballybunnion,0.76321,5.4112,12.577
