time,load,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation
2015-01-21,48730.4,7.0,0.0,16.0,4.3,-0.5,-5.2,0.2
2015-01-22,46037.25,2.0,0.5,24.0,8.5,2.2,0.0,0.0
2015-01-23,45929.875,2.0,5.2,56.0,7.4,2.1,-4.4,2.8
2015-01-24,41568.4375,1.0,6.7,64.0,9.2,0.8,-5.9,0.2
2015-01-25,40635.625,5.0,0.0,17.0,9.9,3.9,-1.4,0.0
2015-01-26,44372.229166666664,5.0,0.0,17.0,9.8,5.9,1.9,0.2
2015-01-27,45200.854166666664,5.0,3.6,49.0,10.7,6.1,2.3,0.0
2015-01-28,44740.166666666664,5.0,0.0,18.0,7.4,7.7,4.7,1.0
2015-01-29,46039.958333333336,2.0,0.0,18.0,6.7,4.4,1.4,1.6
2015-01-30,45893.25,4.0,0.0,19.0,5.2,3.9,1.1,2.0
2015-01-31,41998.6875,5.0,0.0,19.0,5.6,2.3,-0.7,1.4
2015-02-01,41402.1875,5.0,0.0,19.0,2.6,3.2,0.8,0.0
2015-02-02,46586.520833333336,1.0,0.0,20.0,4.4,-0.2,-3.0,0.0
2015-02-03,46242.0625,5.0,0.5,28.0,4.5,1.8,-0.8,0.0
2015-02-04,45914.229166666664,5.0,1.5,39.0,5.1,1.3,-1.9,0.2
2015-02-05,46730.833333333336,5.0,0.0,21.0,5.4,3.2,1.3,0.0
2015-02-06,45212.375,2.0,5.2,68.0,5.4,2.6,-0.3,0.2
2015-02-07,41489.875,5.0,0.0,21.0,8.9,2.7,-0.1,0.0
2015-02-08,39791.979166666664,2.0,6.2,76.0,9.9,5.2,1.5,0.0
2015-02-09,43324.1875,4.0,4.5,66.0,6.9,5.0,0.1,0.0
2015-02-10,44852.229166666664,8.0,0.0,23.0,5.4,5.4,3.9,0.0
2015-02-11,45722.4375,8.0,0.0,23.0,7.6,4.9,4.3,0.0
2015-02-12,45703.458333333336,7.0,0.0,24.0,9.2,5.7,3.8,0.2
2015-02-13,44494.979166666664,7.0,0.0,24.0,8.7,5.3,1.3,7.0
2015-02-14,40502.4375,7.0,0.3,31.0,9.5,6.3,3.9,0.2
2015-02-15,38973.145833333336,4.0,2.1,52.0,8.6,7.3,5.0,0.2
2015-02-16,43923.645833333336,6.0,0.0,25.0,9.2,4.2,-0.2,5.6
2015-02-17,43707.916666666664,1.0,9.0,106.0,10.7,5.7,2.1,0.0
2015-02-18,42620.5625,2.0,8.7,106.0,8.7,5.4,0.0,0.0
2015-02-19,43451.895833333336,6.0,0.8,41.0,7.2,6.4,4.0,6.4
2015-02-20,43578.583333333336,5.0,0.5,38.0,7.8,5.8,4.4,1.8
2015-02-21,39400.520833333336,5.0,3.2,68.0,10.1,4.6,1.3,0.2
2015-02-22,39965.8125,3.0,1.6,53.0,8.7,4.0,-2.1,6.4
2015-02-23,43857.895833333336,3.0,4.1,78.0,9.7,5.2,1.6,1.2
2015-02-24,44307.395833333336,3.0,4.9,86.0,12.3,6.5,3.3,2.0
2015-02-25,43914.9375,6.0,2.3,63.0,11.4,8.5,4.6,0.6
2015-02-26,43273.625,6.0,0.0,30.0,9.9,9.3,7.1,4.6
2015-02-27,42961.666666666664,2.0,8.5,118.0,11.1,4.8,-0.4,0.0
2015-02-28,38967.208333333336,8.0,0.0,31.0,11.7,7.3,3.5,1.8
2015-03-01,37728.270833333336,3.0,5.3,105.0,9.0,9.2,6.7,3.2
